Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 169, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 170, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 171, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 172, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 173, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 174, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 175, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 176, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 177, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 178, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 179, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 180, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 181, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 182, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 183, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 184, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 185, numero nodos--> 40, tiempo ejecucion--> 0.0
